date,AAPL,AMZN,AVGO,BA,BRK-B,CVX,GOOG,GOOGL,INTC,JNJ,JPM,LLY,META,MSFT,NVDA,PG,T,TSLA,UNH,V,VZ,WMT,XOM
2024-01-22,193.88999938964844,154.77999877929688,122.05000305175781,214.92999267578125,368.05999755859375,142.49000549316406,147.7100067138672,145.99000549316406,48.220001220703125,162.47000122070312,170.11000061035156,630.8800048828125,381.7799987792969,396.510009765625,59.65399932861328,147.86000061035156,16.799999237060547,208.8000030517578,512.989990234375,271.20001220703125,39.58000183105469,54.130001068115234,96.81999969482422
2024-01-23,195.17999267578125,156.02000427246094,122.63099670410156,211.5,372.1400146484375,142.08999633789062,148.67999267578125,147.0399932861328,48.88999938964844,159.80999755859375,168.99000549316406,629.6799926757812,385.20001220703125,398.8999938964844,59.87300109863281,153.97999572753906,17.190000534057617,209.13999938964844,515.52001953125,271.260009765625,42.22999954223633,54.266666412353516,97.91000366210938
2024-01-24,194.5,156.8699951171875,125.38700103759766,214.1300048828125,376.5899963378906,144.9199981689453,150.35000610351562,148.6999969482422,49.09000015258789,158.9600067138672,170.5,633.7000122070312,390.70001220703125,402.55999755859375,61.36199951171875,152.1199951171875,16.68000030517578,207.8300018310547,513.22998046875,271.6499938964844,41.279998779296875,53.5,99.5999984741211
2024-01-25,194.1699981689453,157.75,123.0,201.8800048828125,380.8500061035156,148.57000732421875,153.63999938964844,151.8699951171875,49.54999923706055,159.55999755859375,172.94000244140625,627.6199951171875,393.17999267578125,404.8699951171875,61.617000579833984,155.6199951171875,17.18000030517578,182.6300048828125,493.3999938964844,272.6099853515625,42.290000915527344,54.279998779296875,102.12999725341797
2024-01-26,192.4199981689453,159.1199951171875,120.48799896240234,205.47000122070312,385.3999938964844,149.13999938964844,153.7899932861328,152.19000244140625,43.650001525878906,159.5,172.27999877929688,639.25,394.1400146484375,403.92999267578125,61.03099822998047,156.13999938964844,17.290000915527344,183.25,503.20001220703125,267.94000244140625,42.400001525878906,54.75666809082031,103.0
2024-01-29,191.72999572753906,161.25999450683594,121.7770004272461,205.19000244140625,383.17999267578125,149.0800018310547,154.83999633789062,153.50999450683594,43.84000015258789,159.36000061035156,172.72999572753906,645.0,401.0199890136719,409.7200012207031,62.46500015258789,156.16000366210938,17.25,190.92999267578125,504.5400085449219,273.6600036621094,42.04999923706055,55.01333236694336,103.12999725341797
2024-01-30,188.0399932861328,159.0,120.81600189208984,200.44000244140625,387.1499938964844,150.1199951171875,153.0500030517578,151.4600067138672,42.91999816894531,158.77000427246094,176.27000427246094,644.97998046875,400.05999755859375,408.5899963378906,62.77399826049805,157.49000549316406,17.530000686645508,191.58999633789062,503.6099853515625,277.1499938964844,42.470001220703125,55.1966667175293,104.8499984741211
2024-01-31,184.39999389648438,155.1999969482422,118.0,211.0399932861328,383.739990234375,147.42999267578125,141.8000030517578,140.10000610351562,43.08000183105469,158.89999389648438,174.36000061035156,645.6099853515625,390.1400146484375,397.5799865722656,61.527000427246094,157.13999938964844,17.690000534057617,187.2899932861328,511.739990234375,273.260009765625,42.349998474121094,55.08333206176758,102.80999755859375
2024-02-01,186.86000061035156,159.27999877929688,120.0009994506836,209.80999755859375,386.44000244140625,147.88999938964844,142.7100067138672,141.16000366210938,43.36000061035156,158.36000061035156,173.72999572753906,660.4299926757812,394.7799987792969,403.7799987792969,63.027000427246094,159.17999267578125,18.040000915527344,188.86000061035156,507.1400146484375,277.04998779296875,42.4900016784668,56.10333251953125,102.38999938964844
2024-02-02,185.85000610351562,171.80999755859375,122.43399810791016,209.3800048828125,390.75,152.24000549316406,143.5399932861328,142.3800048828125,42.599998474121094,156.61000061035156,174.72999572753906,667.6500244140625,474.989990234375,411.2200012207031,66.16000366210938,158.08999633789062,17.829999923706055,187.91000366210938,510.2300109863281,277.17999267578125,42.130001068115234,56.52333450317383,101.97000122070312
2024-02-05,187.67999267578125,170.30999755859375,124.30999755859375,206.6300048828125,390.760009765625,152.3300018310547,144.92999267578125,143.67999267578125,42.77000045776367,155.8000030517578,174.5,706.2000122070312,459.4100036621094,405.6499938964844,69.33200073242188,158.2100067138672,17.729999542236328,181.05999755859375,502.9599914550781,275.5799865722656,41.380001068115234,56.220001220703125,101.55000305175781
